ECHANGE_RATE_DT,usd2usd,usd2inr,usd2eu
01/01/2020,1,71.2758,0.8912
02/01/2020,1,71.025,0.8912
03/01/2020,1,71.415,0.89514
04/01/2020,1,71.415,0.89514
05/01/2020,1,71.415,0.89514
06/01/2020,1,71.731,0.8959
07/01/2020,1,71.787,0.893017
08/01/2020,1,72.16,0.89648
09/01/2020,1,71.4119,0.89983
10/01/2020,1,71.1943,0.9
11/01/2020,1,71.1943,0.9
12/01/2020,1,71.1943,0.9
13/01/2020,1,70.953,0.89955
14/01/2020,1,70.7189,0.89801
15/01/2020,1,70.8451,0.8984
16/01/2020,1,70.718,0.896539
17/01/2020,1,70.9456,0.8977
18/01/2020,1,70.9456,0.8977
19/01/2020,1,70.9456,0.8977
20/01/2020,1,71.0347,0.90134
21/01/2020,1,71.031,0.90115
22/01/2020,1,71.17,0.90207
23/01/2020,1,71.0781,0.90119
24/01/2020,1,71.321,0.90455
25/01/2020,1,71.321,0.90455
26/01/2020,1,71.321,0.90455
27/01/2020,1,71.325,0.907
28/01/2020,1,71.44,0.90746
29/01/2020,1,71.2304,0.90723
30/01/2020,1,71.3,0.9077
31/01/2020,1,71.64,0.90669
